detail,title
"
                                    ...米ホワイトハウスは23日、中国との閣僚級,協議を４月30日から北京で開くと発表した。米中交渉の進展があるとの期待も買いにつながっている。...
                              ","                    米国株、ダウ平均下落して始まる　キャタピラーが押し下げ
                "
"
                                    ...米中の,交渉も続いており、中国との経済関係が深い豪州への影響も懸念される。目先の豪ドルは対円で上昇が見込みにくい展開になりそうだ。...
                              ","                    豪ドル、2週間ぶり安値　物価低迷で利下げ観測強まる
                "
"
                                    ...米中,摩擦の影響で車載事業が落ち込むほか、工場の自動化に使う制御機器事業が伸び悩む。不透明な事業環境に対応して50億円の営業減益リスクを織り込んだのも響く。
                      　売上高は３％減の8300億円、営業利益は15％減の650億円を見込む。...
                              ","                    オムロン、20年3月期純利益22%減　貿易摩擦の影響続く
                "
"
                                    ...米中,戦争の影響などで設備投資が減速する中、中国を含めた海外全地域でセンサーが伸びた。同社は業績予想を開示していないものの、大阪市内で会見した山本晃則社長は今期の業績について「国内外ともに過去最高を目指す」とした。
                      　売上高は11％増の5870億円だった。...
                              ","                    キーエンスの前期、純利益最高　海外好調
                "
"
                                    ...米中,摩擦などをきっかけに景気の先行きが不透明になり、積極的な買収が手控えられた。市場の中心は、逆風に備えた事業再編など、「守り」のＭ＆Ａに切り替わりつつある。
                      　調査会社リフィニティブが集計した。１～３月のＭ＆Ａの件数は２割減の約１万件で、５年ぶりの低水準だった。...
                              ","                    世界のM&A金額、1～3月2割減　米中摩擦が重荷
                "
"
                                    ...米中,摩擦の影響による世界的な需要減少が懸念されているが、当初計画通りの生産体制を維持する。一方で人手不足に苦戦する外食では一斉休業日の導入で働き方改革に努める企業が目立つ。
                      　...
                              ","                    中部の製造業、GW9連休で生産維持　外食は一斉休業も
                "
"
                                    ...,量が大きい米中の関係改善が不透明なほか、中国の家畜伝染病で飼料需要の減少懸念が強まっている。
                      　中国は2018年、米国産大豆に追加関税を課し、代替としてブラジル産の輸入を増やしてきた。だが昨年に確認された「アフリカ豚コレラ」が全省に拡大しているとみられ、飼料に使う穀物の需要が鈍っている。
                      　...
                              ","                    大豆が半年ぶり安値　中国の家畜伝染病で飼料需要減
                "
"
                                    ...４月中旬に北京で開いた閣僚級の日中ハイレベル経済対話では日中韓の自由,協定（ＦＴＡ）の推進で一致した。13年に交渉を始めたが、ここにきて中国が交渉妥結に強い意欲を示しているという。
                      　さらに日本と中国の主要な株価指数に連動する上場投資信託（ＥＴＦ）が５月にも相互に上場する。...
                              ","                    旭日旗を容認、習指導部　対日関係の改善を意識
                "
"
                                    ...国際社会が北朝鮮に科す制裁により、ロ朝間の,額は13年の１億1300万ドル（約126億円）から18年には3400万ドルと約７割減った。石油やガソリンなどの北朝鮮への輸出が主な取引だが、制裁で制限され、,量の急減を招いた。
                      　...
                              ","                    金正恩氏、ウラジオ到着　25日午後にロ朝首脳会談
                "
"
                                    ...保護主義色の濃いトランプ米政権との米中,摩擦を念頭に「中国は自由,を重視している。この点でも日中は共通利益がある」とも強調した。二階氏が求めた日本産食品の輸入規制緩和には「科学的な根拠に基づき安全第一でやっている」と述べるにとどめた。
                      　二階氏は29日まで中国に滞在する予定だ。...
                              ","                    習氏、6月訪日を明言　二階氏に　大阪G20出席へ
                "
detail,title
"
                                    ...米ホワイトハウスは23日、中国との閣僚級,協議を４月30日から北京で開くと発表した。米中交渉の進展があるとの期待も買いにつながっている。...
                              ","                    米国株、ダウ平均下落して始まる　キャタピラーが押し下げ
                "
